,method,n,d,q,p,time
376,Encryption,8,14,32767,35184372088831,0.0029994426004122943
377,Decrypt,8,14,32767,35184372088831,0.0003286828003183473
378,Addition,8,14,32767,35184372088831,3.574880029191263e-05
379,Multiplication,8,14,32767,35184372088831,0.029954248000285587
380,KeyGen,8,16,32767,35184372088831,0.03414077060006093
381,Encryption,8,16,32767,35184372088831,0.0034313914002268575
382,Decrypt,8,16,32767,35184372088831,0.00039024599973345173
383,Addition,8,16,32767,35184372088831,3.5276799462735656e-05
384,Multiplication,8,16,32767,35184372088831,0.03468592159988475
385,KeyGen,8,18,32767,35184372088831,0.04296569720027037
386,Encryption,8,18,32767,35184372088831,0.004604393200133927
387,Decrypt,8,18,32767,35184372088831,0.0004952759998559486
388,Addition,8,18,32767,35184372088831,5.16549996973481e-05
389,Multiplication,8,18,32767,35184372088831,0.04297900519959512
390,KeyGen,8,20,32767,35184372088831,0.04933210579984006
391,Encryption,8,20,32767,35184372088831,0.005017049399612006
392,Decrypt,8,20,32767,35184372088831,0.0005588354004430584
393,Addition,8,20,32767,35184372088831,3.948279991163872e-05
394,Multiplication,8,20,32767,35184372088831,0.05745494000002509
395,KeyGen,8,22,32767,35184372088831,0.057604540800093675
396,Encryption,8,22,32767,35184372088831,0.006130128000222612
397,Decrypt,8,22,32767,35184372088831,0.0006479871997726149
398,Addition,8,22,32767,35184372088831,3.960879985243082e-05
399,Multiplication,8,22,32767,35184372088831,0.06146100879996084
400,KeyGen,8,24,32767,35184372088831,0.0665665002001333
401,Encryption,8,24,32767,35184372088831,0.006790393199480604
402,Decrypt,8,24,32767,35184372088831,0.0007890198001405224
403,Addition,8,24,32767,35184372088831,4.219879992888309e-05
404,Multiplication,8,24,32767,35184372088831,0.0703229860002466
405,KeyGen,8,26,32767,35184372088831,0.07682228940029745
406,Encryption,8,26,32767,35184372088831,0.007818848200258799
407,Decrypt,8,26,32767,35184372088831,0.0008702255996468012
408,Addition,8,26,32767,35184372088831,4.219879992888309e-05
409,Multiplication,8,26,32767,35184372088831,0.08261392019994673
410,KeyGen,8,28,32767,35184372088831,0.08782130960025825
411,Encryption,8,28,32767,35184372088831,0.00905842920037685
412,Decrypt,8,28,32767,35184372088831,0.0009639453994168435
413,Addition,8,28,32767,35184372088831,4.29908002843149e-05
414,Multiplication,8,28,32767,35184372088831,0.09136768500029575
415,KeyGen,8,30,32767,35184372088831,0.09483310099967639
416,Encryption,8,30,32767,35184372088831,0.009867039399978239
417,Decrypt,8,30,32767,35184372088831,0.0011097244001575745
418,Addition,8,30,32767,35184372088831,4.646899978979491e-05
419,Multiplication,8,30,32767,35184372088831,0.10364924899986364
420,KeyGen,8,32,32767,35184372088831,0.10646507580022443
421,Encryption,8,32,32767,35184372088831,0.011190782199992099
422,Decrypt,8,32,32767,35184372088831,0.0012166485998022837
423,Addition,8,32,32767,35184372088831,4.7051000001374633e-05
424,Multiplication,8,32,32767,35184372088831,0.11523310680058785
425,KeyGen,10,1,32767,35184372088831,0.005714473399712006
426,Encryption,10,1,32767,35184372088831,0.00042010040051536633
427,Decrypt,10,1,32767,35184372088831,5.798519996460527e-05
428,Addition,10,1,32767,35184372088831,2.774640015559271e-05
429,Multiplication,10,1,32767,35184372088831,0.004709401199943386
430,KeyGen,10,2,32767,35184372088831,0.007118855800217716
431,Encryption,10,2,32767,35184372088831,0.0005332767999789212
432,Decrypt,10,2,32767,35184372088831,6.96833994879853e-05
433,Addition,10,2,32767,35184372088831,2.7286600379738955e-05
434,Multiplication,10,2,32767,35184372088831,0.006336834000103408
435,KeyGen,10,4,32767,35184372088831,0.011625604800065048
436,Encryption,10,4,32767,35184372088831,0.000853219199780142
437,Decrypt,10,4,32767,35184372088831,9.621979988878593e-05
438,Addition,10,4,32767,35184372088831,2.875259961001575e-05
439,Multiplication,10,4,32767,35184372088831,0.010282861800078535
440,KeyGen,10,6,32767,35184372088831,0.017696473599789896
441,Encryption,10,6,32767,35184372088831,0.0015832299999601674
442,Decrypt,10,6,32767,35184372088831,0.00013755480031250045
443,Addition,10,6,32767,35184372088831,3.0140599847072735e-05
444,Multiplication,10,6,32767,35184372088831,0.016249012399930506
445,KeyGen,10,8,32767,35184372088831,0.0246071851994202
446,Encryption,10,8,32767,35184372088831,0.0018721077998634429
447,Decrypt,10,8,32767,35184372088831,0.0001924459997098893
448,Addition,10,8,32767,35184372088831,3.256259951740503e-05
449,Multiplication,10,8,32767,35184372088831,0.022713978799583857
450,KeyGen,10,10,32767,35184372088831,0.03263528340030462
451,Encryption,10,10,32767,35184372088831,0.0025257229994167575
452,Decrypt,10,10,32767,35184372088831,0.0002473649998137262
453,Addition,10,10,32767,35184372088831,3.3612600236665455e-05
454,Multiplication,10,10,32767,35184372088831,0.0314031943998998
455,KeyGen,10,12,32767,35184372088831,0.04144526340023731
456,Encryption,10,12,32767,35184372088831,0.0033201410005858634
