,method,n,d,q,p,depth,error,is_wrong
194,add,1,512,15,3,42,0.1914917230606079,False
195,add,1,512,15,3,43,0.1958146095275879,False
196,add,1,512,15,3,44,0.2003002166748047,False
197,add,1,512,15,3,45,0.2043769359588623,False
198,add,1,512,15,3,46,0.20834338665008545,False
199,add,1,512,15,3,47,0.21288645267486572,False
200,add,1,512,15,3,48,0.21741974353790283,False
201,add,1,512,15,3,49,0.22201335430145264,False
202,add,1,512,15,3,50,0.22719895839691162,False
203,add,1,512,15,3,51,0.23157143592834473,False
204,add,1,512,15,3,52,0.2357923984527588,False
205,add,1,512,15,3,53,0.239721417427063,False
206,add,1,512,15,3,54,0.24414479732513428,False
207,add,1,512,15,3,55,0.24809730052947998,False
208,add,1,512,15,3,56,0.25245606899261475,False
209,add,1,512,15,3,57,0.25747621059417725,False
210,add,1,512,15,3,58,0.2636294364929199,True
211,add,3,256,13,3,0,0.04801464080810547,False
212,add,3,256,13,3,1,0.07440376281738281,False
213,add,3,256,13,3,2,0.09960079193115234,False
214,add,3,256,13,3,3,0.12520790100097656,False
215,add,3,256,13,3,4,0.1530303955078125,False
216,add,3,256,13,3,5,0.17706775665283203,False
217,add,3,256,13,3,6,0.20287418365478516,False
218,add,3,256,13,3,7,0.22740459442138672,False
219,add,3,256,13,3,8,0.2496490478515625,False
220,add,3,256,13,3,9,0.28894519805908203,True
221,add,1,512,15,3,0,0.008953571319580078,False
222,add,1,512,15,3,1,0.013226628303527832,False
223,add,1,512,15,3,2,0.017228126525878906,False
224,add,1,512,15,3,3,0.021498441696166992,False
225,add,1,512,15,3,4,0.025662541389465332,False
226,add,1,512,15,3,5,0.02885615825653076,False
227,add,1,512,15,3,6,0.03341412544250488,False
228,add,1,512,15,3,7,0.03830301761627197,False
229,add,1,512,15,3,8,0.04245400428771973,False
230,add,1,512,15,3,9,0.046619534492492676,False
231,add,1,512,15,3,10,0.051386117935180664,False
232,add,1,512,15,3,11,0.055016517639160156,False
233,add,1,512,15,3,12,0.05890154838562012,False
234,add,1,512,15,3,13,0.06306171417236328,False
235,add,1,512,15,3,14,0.06735432147979736,False
236,add,1,512,15,3,15,0.07219815254211426,False
237,add,1,512,15,3,16,0.07592260837554932,False
238,add,1,512,15,3,17,0.08048427104949951,False
239,add,1,512,15,3,18,0.0850839614868164,False
240,add,1,512,15,3,19,0.08848822116851807,False
241,add,1,512,15,3,20,0.09313821792602539,False
242,add,1,512,15,3,21,0.09760451316833496,False
243,add,1,512,15,3,22,0.10164713859558105,False
244,add,1,512,15,3,23,0.10583007335662842,False
245,add,1,512,15,3,24,0.10936641693115234,False
246,add,1,512,15,3,25,0.11385476589202881,False
247,add,1,512,15,3,26,0.11838328838348389,False
248,add,1,512,15,3,27,0.12276983261108398,False
249,add,1,512,15,3,28,0.1264181137084961,False
250,add,1,512,15,3,29,0.13077127933502197,False
251,add,1,512,15,3,30,0.1346200704574585,False
252,add,1,512,15,3,31,0.13820385932922363,False
253,add,1,512,15,3,32,0.14239656925201416,False
254,add,1,512,15,3,33,0.1460859775543213,False
255,add,1,512,15,3,34,0.15086007118225098,False
256,add,1,512,15,3,35,0.15540778636932373,False
257,add,1,512,15,3,36,0.15907561779022217,False
258,add,1,512,15,3,37,0.16271686553955078,False
259,add,1,512,15,3,38,0.16746628284454346,False
260,add,1,512,15,3,39,0.17106831073760986,False
261,add,1,512,15,3,40,0.17497706413269043,False
262,add,1,512,15,3,41,0.17979860305786133,False
263,add,1,512,15,3,42,0.18364214897155762,False
264,add,1,512,15,3,43,0.18742060661315918,False
265,add,1,512,15,3,44,0.19155871868133545,False
266,add,1,512,15,3,45,0.1956615447998047,False
267,add,1,512,15,3,46,0.1999528408050537,False
268,add,1,512,15,3,47,0.2042301893234253,False
269,add,1,512,15,3,48,0.2086116075515747,False
270,add,1,512,15,3,49,0.21259617805480957,False
271,add,1,512,15,3,50,0.21733784675598145,False
272,add,1,512,15,3,51,0.22175288200378418,False
273,add,1,512,15,3,52,0.22595739364624023,False
274,add,1,512,15,3,53,0.22977066040039062,False
275,add,1,512,15,3,54,0.2343071699142456,False
276,add,1,512,15,3,55,0.23808443546295166,False
277,add,1,512,15,3,56,0.24307847023010254,False
278,add,1,512,15,3,57,0.2475060224533081,False
279,add,1,512,15,3,58,0.252163290977478,False
280,add,1,512,15,3,59,0.2565063238143921,False
281,add,1,512,15,3,60,0.26082348823547363,False
282,add,1,512,15,3,61,0.26456522941589355,False
283,add,1,512,15,3,62,0.26841843128204346,True
284,add,1,512,15,3,0,0.008483052253723145,False
285,add,1,512,15,3,1,0.012769937515258789,False
286,add,1,512,15,3,2,0.01690053939819336,False
287,add,1,512,15,3,3,0.021166324615478516,False
288,add,1,512,15,3,4,0.024519920349121094,False
289,add,1,512,15,3,5,0.02836775779724121,False
290,add,1,512,15,3,6,0.03221333026885986,False
291,add,1,512,15,3,7,0.03639256954193115,False
292,add,1,512,15,3,8,0.03991568088531494,False
293,add,1,512,15,3,9,0.04441428184509277,False
294,add,1,512,15,3,10,0.04855799674987793,False
295,add,1,512,15,3,11,0.052942514419555664,False
296,add,1,512,15,3,12,0.056903839111328125,False
297,add,1,512,15,3,13,0.06110966205596924,False
298,add,1,512,15,3,14,0.06562983989715576,False
299,add,1,512,15,3,15,0.06984519958496094,False
300,add,1,512,15,3,16,0.07379770278930664,False
301,add,1,512,15,3,17,0.07802939414978027,False
302,add,1,512,15,3,18,0.08187210559844971,False
303,add,1,512,15,3,19,0.08644020557403564,False
304,add,1,512,15,3,20,0.09007894992828369,False
305,add,1,512,15,3,21,0.09431993961334229,False
306,add,1,512,15,3,22,0.09860587120056152,False
307,add,1,512,15,3,23,0.1021420955657959,False
308,add,1,512,15,3,24,0.10599970817565918,False
309,add,1,512,15,3,25,0.10960471630096436,False
310,add,1,512,15,3,26,0.11401379108428955,False
311,add,1,512,15,3,27,0.11899244785308838,False
312,add,1,512,15,3,28,0.12268495559692383,False
313,add,1,512,15,3,29,0.12698876857757568,False
314,add,1,512,15,3,30,0.1309647560119629,False
315,add,1,512,15,3,31,0.13449883460998535,False
316,add,1,512,15,3,32,0.1387331485748291,False
317,add,1,512,15,3,33,0.1426635980606079,False
318,add,1,512,15,3,34,0.1473701000213623,False
319,add,1,512,15,3,35,0.15114426612854004,False
320,add,1,512,15,3,36,0.15436255931854248,False
321,add,1,512,15,3,37,0.15826761722564697,False
322,add,1,512,15,3,38,0.16248881816864014,False
323,add,1,512,15,3,39,0.16703474521636963,False
324,add,1,512,15,3,40,0.1714308261871338,False
325,add,1,512,15,3,41,0.17526650428771973,False
326,add,1,512,15,3,42,0.18004441261291504,False
327,add,1,512,15,3,43,0.18398642539978027,False
328,add,1,512,15,3,44,0.18815112113952637,False
329,add,1,512,15,3,45,0.1918179988861084,False
330,add,1,512,15,3,46,0.1953895092010498,False
331,add,1,512,15,3,47,0.1986914873123169,False
332,add,1,512,15,3,48,0.20266211032867432,False
333,add,1,512,15,3,49,0.20767629146575928,False
334,add,1,512,15,3,50,0.21152567863464355,False
335,add,1,512,15,3,51,0.21624672412872314,False
336,add,1,512,15,3,52,0.21966540813446045,False
337,add,1,512,15,3,53,0.22390472888946533,False
338,add,1,512,15,3,54,0.22834420204162598,False
339,add,1,512,15,3,55,0.23217344284057617,False
340,add,1,512,15,3,56,0.2365971803665161,False
341,add,1,512,15,3,57,0.24110817909240723,False
342,add,1,512,15,3,58,0.2474508285522461,True
343,add,1,512,15,3,0,0.007781386375427246,False
344,add,1,512,15,3,1,0.011686444282531738,False
345,add,1,512,15,3,2,0.014824748039245605,False
346,add,1,512,15,3,3,0.019206643104553223,False
347,add,1,512,15,3,4,0.02241981029510498,False
348,add,1,512,15,3,5,0.026423931121826172,False
349,add,1,512,15,3,6,0.030347108840942383,False
350,add,1,512,15,3,7,0.03430509567260742,False
351,add,1,512,15,3,8,0.03835928440093994,False
352,add,1,512,15,3,9,0.04193413257598877,False
353,add,1,512,15,3,10,0.04534745216369629,False
354,add,1,512,15,3,11,0.048958539962768555,False
355,add,1,512,15,3,12,0.05277299880981445,False
356,add,1,512,15,3,13,0.05626392364501953,False
357,add,1,512,15,3,14,0.06002974510192871,False
358,add,1,512,15,3,15,0.06301665306091309,False
359,add,1,512,15,3,16,0.06771600246429443,False
360,add,1,512,15,3,17,0.0712883472442627,False
361,add,1,512,15,3,18,0.07491898536682129,False
362,add,1,512,15,3,19,0.07890987396240234,False
363,add,1,512,15,3,20,0.08237135410308838,False
364,add,1,512,15,3,21,0.08646571636199951,False
365,add,1,512,15,3,22,0.08955669403076172,False
366,add,1,512,15,3,23,0.09287571907043457,False
367,add,1,512,15,3,24,0.09643256664276123,False
368,add,1,512,15,3,25,0.10010576248168945,False
369,add,1,512,15,3,26,0.10402238368988037,False
370,add,1,512,15,3,27,0.1081470251083374,False
371,add,1,512,15,3,28,0.11215484142303467,False
372,add,1,512,15,3,29,0.11603093147277832,False
373,add,1,512,15,3,30,0.12004804611206055,False
374,add,1,512,15,3,31,0.12288987636566162,False
375,add,1,512,15,3,32,0.12678039073944092,False
376,add,1,512,15,3,33,0.1295177936553955,False
377,add,1,512,15,3,34,0.13318300247192383,False
378,add,1,512,15,3,35,0.13656604290008545,False
379,add,1,512,15,3,36,0.14029300212860107,False
380,add,1,512,15,3,37,0.14429116249084473,False
381,add,1,512,15,3,38,0.14765584468841553,False
382,add,1,512,15,3,39,0.15128791332244873,False
383,add,1,512,15,3,40,0.1553560495376587,False
384,add,1,512,15,3,41,0.15914380550384521,False
385,add,1,512,15,3,42,0.16281533241271973,False
386,add,1,512,15,3,43,0.16643047332763672,False
387,add,1,512,15,3,44,0.17035651206970215,False
388,add,1,512,15,3,45,0.1739356517791748,False
389,add,1,512,15,3,46,0.17744231224060059,False
390,add,1,512,15,3,47,0.1802157163619995,False
391,add,1,512,15,3,48,0.18443870544433594,False
392,add,1,512,15,3,49,0.18747007846832275,False
393,add,1,512,15,3,50,0.19118142127990723,False
394,add,1,512,15,3,51,0.19514048099517822,False
395,add,1,512,15,3,52,0.19909822940826416,False
396,add,1,512,15,3,53,0.20278358459472656,False
397,add,1,512,15,3,54,0.2072007656097412,False
398,add,1,512,15,3,55,0.21082723140716553,False
399,add,1,512,15,3,56,0.21403348445892334,False
400,add,1,512,15,3,57,0.21829378604888916,False
