,method,n,d,q,p,time
314,Multiplication,26,8,32,3,0.6822041409999656
315,KeyGen,26,12,32,3,1.4056401435002044
316,Encryption,26,12,32,3,0.0423236498998449
317,Decrypt,26,12,32,3,0.0015434463002748089
318,Addition,26,12,32,3,0.0001483631000155583
319,Multiplication,26,12,32,3,1.3184652830997947
320,KeyGen,26,10,32,3,1.0816436061002606
321,Encryption,26,10,32,3,0.03815267279969703
322,Decrypt,26,10,32,3,0.001382712900158367
323,Addition,26,10,32,3,0.0001408938998793019
324,Multiplication,26,10,32,3,0.9815592447001109
325,KeyGen,26,28,32,3,5.216714993999995
326,Encryption,26,28,32,3,0.17414312549990427
327,Decrypt,26,28,32,3,0.0060792650001531
328,Addition,26,28,32,3,0.00023492389991588424
329,Multiplication,26,28,32,3,5.687513087600019
330,KeyGen,26,30,32,3,6.011442843800251
331,Encryption,26,30,32,3,0.20072242940004797
332,Decrypt,26,30,32,3,0.006946393100224668
333,Addition,26,30,32,3,0.00024429210025118665
334,Multiplication,26,30,32,3,6.228544699000122
335,KeyGen,26,32,32,3,6.6283059091998435
336,Encryption,26,32,32,3,0.23324998380012402
337,Decrypt,26,32,32,3,0.008137310000165598
338,Addition,26,32,32,3,0.00020899740011373069
339,Multiplication,26,32,32,3,7.325766022500102
340,KeyGen,24,14,32,3,1.4279278890000568
341,Encryption,24,14,32,3,0.053537850399879974
342,Decrypt,24,14,32,3,0.002488005000122939
343,Addition,24,14,32,3,0.00014951309967727865
344,Multiplication,24,14,32,3,1.3708013586998278
345,KeyGen,24,16,32,3,1.730852693899942
346,Encryption,24,16,32,3,0.05630016009999963
347,Decrypt,24,16,32,3,0.0023687256001721836
348,Addition,24,16,32,3,0.00015715030021965504
349,Multiplication,24,16,32,3,1.6919918733001396
350,KeyGen,24,12,32,3,1.1385670826999559
351,Encryption,24,12,32,3,0.04186488129998907
352,Decrypt,24,12,32,3,0.0016677879000781104
353,Addition,24,12,32,3,0.00015027720000944101
354,Multiplication,24,12,32,3,1.139596365699981
355,KeyGen,24,18,32,3,2.0846922986998835
356,Encryption,24,18,32,3,0.07622296619992994
357,Decrypt,24,18,32,3,0.0027660959000058937
358,Addition,24,18,32,3,0.00016783850005595014
359,Multiplication,24,18,32,3,2.065272894399823
360,KeyGen,24,6,32,3,0.4935216620000574
361,Encryption,24,6,32,3,0.01513500090004527
362,Decrypt,24,6,32,3,0.0006500986000901321
363,Addition,24,6,32,3,0.00011011429996869993
364,Multiplication,24,6,32,3,0.40579570640002205
365,KeyGen,24,2,32,3,0.1845805567998468
366,Encryption,24,2,32,3,0.005532126800244441
367,Decrypt,24,2,32,3,0.00022321069991448894
368,Addition,24,2,32,3,0.0003687276999698952
369,Multiplication,24,2,32,3,0.15245246109989238
370,KeyGen,24,20,32,3,2.4747997419999592
371,Encryption,24,20,32,3,0.09047169330006
372,Decrypt,24,20,32,3,0.0036265878999984123
373,Addition,24,20,32,3,0.00017620069993427024
374,Multiplication,24,20,32,3,2.4615784996000003
375,KeyGen,24,4,32,3,0.2892975232000026
376,Encryption,24,4,32,3,0.008156457800214411
377,Decrypt,24,4,32,3,0.00035928860015701505
378,Addition,24,4,32,3,9.265499975299462e-05
379,Multiplication,24,4,32,3,0.22760635890008415
380,KeyGen,24,1,32,3,0.11398080860017216
381,Encryption,24,1,32,3,0.003406676300073741
382,Decrypt,24,1,32,3,0.0001768886999343522
383,Addition,24,1,32,3,8.181070006685331e-05
384,Multiplication,24,1,32,3,0.10318356070019945
385,KeyGen,24,8,32,3,0.624709116500162
386,Encryption,24,8,32,3,0.020756123500177637
